Intact,S4,S16,S64,S256,Participant,Object_Type
100,98.75,80,51.25,11.25,1,Semantic
98.75,83.75,60,32.5,6.25,2,Semantic
100,92.5,81.25,48.75,20,3,Semantic
97.5,90,67.5,42.5,7.5,4,Semantic
100,97.5,71.25,45,13.75,5,Semantic
100,97.5,85,47.5,12.5,6,Semantic
100,97.5,82.5,63.75,32.5,7,Semantic
100,95,81.25,52.5,16.25,8,Semantic
100,95,83.75,60,18.75,9,Semantic
100,96.25,72.5,45,18.75,10,Semantic
100,92.5,76.25,45,10,11,Semantic
100,98.75,80,53.75,15,12,Semantic
92.5,70,48.75,47.5,48.75,1,Novel
85,65,55,51.25,47.5,2,Novel
90,51.25,41.25,58.75,43.75,3,Novel
88.75,65,52.5,50,48.75,4,Novel
95,70,65,57.5,58.75,5,Novel
93.75,55,47.5,51.25,48.75,6,Novel
92.5,72.5,53.75,48.75,42.5,7,Novel
93.75,60,60,47.5,53.75,8,Novel
92.5,50,48.75,56.25,53.75,9,Novel
98.75,78.75,66.25,56.25,55,10,Novel
86.25,71.25,62.5,55,48.75,11,Novel
96.25,71.25,58.75,57.5,50,12,Novel
