X,Y,Z,Unused,Cluster
5,-90,-12,-0.097878353,1
-5,-93,-18,-0.0807379,1
-11,-90,-18,-0.09671756,1
-5,-90,-18,-0.08782216,1
-8,-90,-18,-0.096996973,1
-8,-90,-15,-0.1182889,1
-8,-93,-12,-0.100163307,1
-8,-93,-18,-0.083896167,1
-11,-90,-12,-0.10314942,1
-11,-90,-15,-0.11700094,1
-14,-87,-9,-0.0598757,1
-8,-93,-15,-0.09023616,1
-11,-93,-20,-0.04832042,1
-14,-93,-6,-0.092053213,1
-8,-96,-12,-0.103359493,1
-11,-93,-12,-0.090224273,1
-14,-87,-15,-0.091716287,1
-14,-87,-12,-0.07672992,1
-14,-90,-9,-0.078543533,1
-11,-93,-18,-0.090872327,1
-14,-90,-20,-0.05035224,1
-11,-93,-15,-0.103100773,1
-14,-90,-18,-0.082979787,1
-17,-87,-9,-0.051419587,1
-14,-90,-15,-0.107206953,1
-11,-96,-12,-0.093255993,1
-14,-93,-9,-0.089152193,1
-17,-90,-6,-0.057982053,1
-17,-93,-6,-0.079694447,1
-14,-93,-20,-0.04100164,1
-14,-90,-12,-0.104731627,1
-17,-90,-9,-0.06818906,1
-17,-87,-12,-0.054221213,1
-14,-96,-9,-0.098112213,1
-17,-90,-12,-0.073099847,1
-17,-90,-15,-0.076661693,1
-14,-93,-12,-0.09435336,1
-14,-93,-15,-0.096335187,1
-14,-96,-15,-0.07930928,1
-17,-93,-9,-0.08166982,1
-14,-96,-12,-0.1005035,1
-17,-96,-9,-0.082902033,1
-17,-93,-18,-0.0580077,1
-17,-93,-12,-0.068177847,1
-17,-93,-15,-0.070097473,1
-20,-93,-6,-0.0403777,1
-20,-90,-9,-0.04084498,1
-20,-90,-12,-0.049265427,1
-20,-93,-15,-0.049002073,1
-17,-96,-15,-0.051947793,1
-20,-93,-9,-0.045675747,1
-17,-96,-12,-0.072889847,1
-20,-93,-12,-0.0459129,1
-23,-57,-20,0.021054033,2
-23,-66,-20,0.01115634,2
-23,-69,-20,-0.017143813,2
-23,-66,-18,0.041669553,2
-23,-63,-20,0.036044193,2
-23,-69,-18,0.001848747,2
-23,-60,-18,0.075289053,2
-23,-63,-18,0.067626447,2
-23,-63,-15,0.075343427,2
-23,-57,-18,0.06766862,2
-23,-60,-15,0.076597333,2
-26,-69,-20,-0.0102694,2
-26,-69,-18,0.008105573,2
-23,-54,-18,0.09098068,2
-26,-66,-20,0.027296187,2
-26,-60,-20,0.073471367,2
-26,-57,-20,0.052673833,2
-26,-63,-20,0.060342147,2
-26,-54,-20,0.0638681,2
-26,-60,-18,0.099933873,2
-26,-66,-18,0.064359473,2
