Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_Full,ID,Hemi,Pathway
0.815520037,Ventral_R,1,Semantic,Components,Semantic_sub1,sub1,Right,Ventral
0.826367498,Ventral_R,1,Semantic,Components,Semantic_sub2,sub2,Right,Ventral
0.934248579,Ventral_R,1,Semantic,Components,Semantic_sub3,sub3,Right,Ventral
0.767210994,Ventral_R,1,Semantic,Components,Semantic_sub4,sub4,Right,Ventral
0.601339186,Ventral_R,1,Semantic,Components,Semantic_sub5,sub5,Right,Ventral
0.599298231,Ventral_R,1,Semantic,Components,Semantic_sub6,sub6,Right,Ventral
0.687555337,Ventral_R,1,Semantic,Components,Semantic_sub7,sub7,Right,Ventral
0.789619099,Ventral_R,1,Semantic,Components,Semantic_sub8,sub8,Right,Ventral
0.532397305,Ventral_R,1,Semantic,Components,Semantic_sub9,sub9,Right,Ventral
0.732589024,Ventral_R,1,Semantic,Components,Semantic_sub10,sub10,Right,Ventral
0.450413841,Ventral_R,1,Semantic,Components,Semantic_sub11,sub11,Right,Ventral
0.855548719,Ventral_R,1,Semantic,Components,Semantic_sub12,sub12,Right,Ventral
-0.527237418,Ventral_R,2,Semantic,Components,Semantic_sub1,sub1,Right,Ventral
-0.328119493,Ventral_R,2,Semantic,Components,Semantic_sub2,sub2,Right,Ventral
-0.483075456,Ventral_R,2,Semantic,Components,Semantic_sub3,sub3,Right,Ventral
-0.226323756,Ventral_R,2,Semantic,Components,Semantic_sub4,sub4,Right,Ventral
-0.55064178,Ventral_R,2,Semantic,Components,Semantic_sub5,sub5,Right,Ventral
-0.390580972,Ventral_R,2,Semantic,Components,Semantic_sub6,sub6,Right,Ventral
-0.358377262,Ventral_R,2,Semantic,Components,Semantic_sub7,sub7,Right,Ventral
-0.349941326,Ventral_R,2,Semantic,Components,Semantic_sub8,sub8,Right,Ventral
-0.399049596,Ventral_R,2,Semantic,Components,Semantic_sub9,sub9,Right,Ventral
-0.166104546,Ventral_R,2,Semantic,Components,Semantic_sub10,sub10,Right,Ventral
-0.637246308,Ventral_R,2,Semantic,Components,Semantic_sub11,sub11,Right,Ventral
-0.559576705,Ventral_R,2,Semantic,Components,Semantic_sub12,sub12,Right,Ventral
0.700386075,Ventral_L,1,Semantic,Components,Semantic_sub1,sub1,Left,Ventral
0.895197883,Ventral_L,1,Semantic,Components,Semantic_sub2,sub2,Left,Ventral
1.132436066,Ventral_L,1,Semantic,Components,Semantic_sub3,sub3,Left,Ventral
0.709703898,Ventral_L,1,Semantic,Components,Semantic_sub4,sub4,Left,Ventral
0.779825607,Ventral_L,1,Semantic,Components,Semantic_sub5,sub5,Left,Ventral
0.865407988,Ventral_L,1,Semantic,Components,Semantic_sub6,sub6,Left,Ventral
0.732209827,Ventral_L,1,Semantic,Components,Semantic_sub7,sub7,Left,Ventral
0.785681373,Ventral_L,1,Semantic,Components,Semantic_sub8,sub8,Left,Ventral
0.426024054,Ventral_L,1,Semantic,Components,Semantic_sub9,sub9,Left,Ventral
0.520057516,Ventral_L,1,Semantic,Components,Semantic_sub10,sub10,Left,Ventral
