XCENTER,XRADIUS,YCENTER,YRADIUS,ZCENTER,ZRADIUS,CLUSTER
-7.5,13,-91.5,5,-13,7.5,1
-30.5,8,-61.5,8,-16,4.5,2
33.5,11,-1.5,17,-22.5,14,3
32,9.5,-70.5,11,-14.5,6,4
-30.5,8,-87,6.5,22.5,8,5
-33.5,11,-46.5,8,-13,7.5,6
32,9.5,-27,9.5,-19.5,11,7
20,9.5,-90,9.5,3,6.5,8
-32,6.5,-81,9.5,-4.5,8,9
-35,6.5,-90,6.5,-1.5,8,10
29,6.5,-79.5,8,10.5,8,11
-38,6.5,-54,9.5,-10,10.5,12
-30.5,8,-75,6.5,-13,7.5,13
38,9.5,-79.5,8,-13,7.5,14
-20,9.5,-67.5,11,48,9.5,15
-27.5,8,-79.5,5,16.5,11,16
27.5,8,-25.5,8,-25.5,5,17
54.5,5,-55.5,8,-6,6.5,18
-26,6.5,-94.5,5,12,6.5,19
-33.5,11,-42,9.5,40.5,8,20
33.5,11,-52.5,11,46.5,8,21
45.5,8,-58.5,8,5,5.5,22
30.5,5,-64.5,14,38,10.5,23
0,11.5,-78.5,9,-16,4.5,24
-24.5,5,-85.5,5,10.5,5,25
-38,6.5,-81,9.5,12,9.5,26
-24.5,5,-30,6.5,-1.5,8,27
35,9.5,-84,6.5,4.5,8,28
-24.5,5,-78,9.5,34.5,8,29
-29,9.5,-24,6.5,-24.5,16,30
33.5,11,-82.5,5,-1.5,8,31
-36.5,5,-10.5,11,-22.5,11,32
-35,6.5,-84,6.5,-14.5,6,33
-36.5,8,-45.5,15,54,12.5,34
-23,6.5,-94.5,5,1.5,8,35
-15.5,11,-84,9.5,-14.5,6,36
-9,29.5,11,5.5,-10.5,2,37
29,6.5,-91.5,5,-4.5,8,38
33.5,8,-36,3.5,-33,6.5,39
-30.5,5,-9,9.5,-21,12.5,40
20,12.5,-81,9.5,-13,7.5,41
42.5,8,-72,9.5,12,6.5,42
-23,6.5,-63,6.5,33,9.5,43
48.5,5,-45,6.5,-9,9.5,44
-44,12.5,-36.5,6,49.5,11,45
30.5,8,-52.5,11,-7.5,5,46
-23,6.5,-87,6.5,-4.5,8,47
-51.5,5,-67.5,5,0.5,10,48
42.5,8,-64.5,11,-14.5,6,49
48.5,5,-66,9.5,-4.5,8,50
23,3.5,-24,9.5,0,9.5,51
26,6.5,-75,6.5,42,6.5,52
38,9.5,-40.5,5,-16.5,8,53
-26,6.5,-70.5,5,21,6.5,54
26,6.5,-54,9.5,52.5,8,55
29,9.5,-58.5,5,-16,4.5,56
41,6.5,-49.5,8,-14.5,6,57
-38,9.5,-37.5,11,-15,6.5,58
29,6.5,-79.5,8,25.5,8,59
-26,6.5,-91.5,8,-12,6.5,60
-36.5,11,-69,6.5,-8.5,12,61
38,6.5,-75,9.5,16.5,8,62
0,11.5,-33.5,3,50,22.5,63
15.5,11,-87,9.5,-6,6.5,64
42.5,8,-54,6.5,-4.5,8,65
21.5,14,-66,6.5,51,9.5,66
-44,12.5,-58.5,11,-3,9.5,67
30.5,8,-49.5,8,-13,7.5,68
-42.5,8,-76.5,8,6,6.5,69
36.5,5,-67.5,11,1.5,11,70
-32,6.5,-36,3.5,-29,11.5,71
36.5,5,-57,6.5,55.5,5,72
21.5,2,-31.5,8,-38,2.5,73
-29,6.5,-42,9.5,43.5,11,74
-23,6.5,-55.5,8,42,9.5,75
-44,6.5,-70.5,8,-16,4.5,76
50,3.5,-57,6.5,-14.5,6,77
-47,6.5,-55.5,11,-13,7.5,78
39.5,5,-63,6.5,-3,6.5,79
-36.5,8,-84,6.5,13.5,11,80
-18.5,5,-97.5,5,-1.5,8,81
-41,6.5,-45,6.5,46.5,8,82
33.5,11,-73.5,5,-6,6.5,83
27.5,5,-66,12.5,33,6.5,84
21.5,8,-60,6.5,39,9.5,85
-27.5,5,-57,9.5,-10.5,5,86
-44,6.5,-78,9.5,-9,6.5,87
30.5,8,-69,6.5,21,9.5,88
30.5,8,-67.5,5,-9,6.5,89
-21.5,14,-49.5,17,63,12.5,90
-39.5,8,-36.5,6,36,6.5,91
-30.5,5,-57,9.5,45,9.5,92
50,15.5,-39.5,9,37.5,20,93
26,6.5,-45,6.5,-14.5,6,94
47,3.5,-73.5,5,4.5,5,95
-24.5,5,-42,12.5,-26,14.5,96
-11,3.5,-99,3.5,-4.5,8,97
29,9.5,-48,9.5,42,9.5,98
26,6.5,-90,6.5,12,6.5,99
26,6.5,-34.5,5,-22.5,11,100
