IMAGE_Num,Scramble,time,width,height,fix_time,Path,,,Guess #9,Guess #7,Guess #2,Guess #6,Guess #4,Guess #8,Guess#1
70,1,0.65,700,700,10,stim/1_stim_obj70.tif,,,clock,clock,clock,clock,clock,clock,clock
26,256,0.65,700,700,10,stim/256_stim_obj26.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea
63,16,0.65,700,700,10,stim/16_stim_obj63.tif,,,shoe,shoe,no idea,no idea,wheel,shoe,no idea
64,256,0.65,700,700,10,stim/256_stim_obj64.tif,,,noide,no idea,no idea,no idea,no idea,no idea,no idea
74,16,0.65,700,700,10,stim/16_stim_obj74.tif,,,boot,no idea,no idea,no idea,bottle,no idea,no idea
32,64,0.65,700,700,10,stim/64_stim_obj32.tif,,,clock,no idea,no idea,wood,no idea,no idea,no idea
16,64,0.65,700,700,10,stim/64_stim_obj16.tif,,,kids toy,no idea,no idea,no idea,no idea,kids toy,no idea
78,64,0.65,700,700,10,stim/64_stim_obj78.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea
55,16,0.65,700,700,10,stim/16_stim_obj55.tif,,,feather,feather,feather,feather,feather,feather,feather
26,4,0.65,700,700,10,stim/4_stim_obj26.tif,,,bowtie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie
2,16,0.65,700,700,10,stim/16_stim_obj2.tif,,,flower,flower,flower,flower,flower,flower,flower
41,1,0.65,700,700,10,stim/1_stim_obj41.tif,,,candle,candle,candle,candle,candle,candle,candle
15,1,0.65,700,700,10,stim/1_stim_obj15.tif,,,speaker,speaker,speaker,speaker,speaker,spekaer,speaker
72,1,0.65,700,700,10,stim/1_stim_obj72.tif,,,soother,soother,soother,soother,soother,soother,soother
13,4,0.65,700,700,10,stim/4_stim_obj13.tif,,,bench,bench,bench,bench,bench,bench,bench
11,1,0.65,700,700,10,stim/1_stim_obj11.tif,,,googles,googles,googles,googles,googles,googles,googles
35,1,0.65,700,700,10,stim/1_stim_obj35.tif,,,watch,watch,watch,watch,watch,watch,watch
41,64,0.65,700,700,10,stim/64_stim_obj41.tif,,,no idea,soother,no idea,no idea,no idea,no idea,no idea
13,64,0.65,700,700,10,stim/64_stim_obj13.tif,,,bench,bench,no idea,no idea,bench,bench,bench
30,1,0.65,700,700,10,stim/1_stim_obj30.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs
79,1,0.65,700,700,10,stim/1_stim_obj79.tif,,,cone,cone,cone,cone,cone,cone,cone
15,4,0.65,700,700,10,stim/4_stim_obj15.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker
49,16,0.65,700,700,10,stim/16_stim_obj49.tif,,,chair,googles,no idea,no idea,no idea,no idea,no idea
5,256,0.65,700,700,10,stim/256_stim_obj5.tif,,,no idea,no idea,floppy disk ,no idea,no idea,no idea,noi
57,64,0.65,700,700,10,stim/64_stim_obj57.tif,,,floppy disk,floppy disk,no idea,no idea,vhs,no idea,no idea
9,16,0.65,700,700,10,stim/16_stim_obj9.tif,,,scale,scale,scale,scale,scale,scale,scale
43,256,0.65,700,700,10,stim/256_stim_obj43.tif,,,no idea,no idea,no idea,no ieda,no idea,no idea,no idea
20,256,0.65,700,700,10,stim/256_stim_obj20.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea
57,4,0.65,700,700,10,stim/4_stim_obj57.tif,,,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk,no iea,floopy disk
59,1,0.65,700,700,10,stim/1_stim_obj59.tif,,,presents,presents,presents,presents,presents,presents,present
68,256,0.65,700,700,10,stim/256_stim_obj68.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea
6,16,0.65,700,700,10,stim/16_stim_obj6.tif,,,no idea,battery,no idea,no idea,no idea,no idea,battery
61,16,0.65,700,700,10,stim/16_stim_obj61.tif,,,hat,hat,no idea,hat,hat,hat,hat
43,1,0.65,700,700,10,stim/1_stim_obj43.tif,,,mirror,mirror,mirror,mirror,mirror,mirror,mirror
