Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_FULL,Pathway,Hemi,ID
0.131962589,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub1,Ventral,Right,sub1
0.112006311,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub2,Ventral,Right,sub2
0.105529954,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub3,Ventral,Right,sub3
0.092969373,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub4,Ventral,Right,sub4
0.142801208,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub5,Ventral,Right,sub5
0.104936918,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub6,Ventral,Right,sub6
0.162695993,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub7,Ventral,Right,sub7
0.133279713,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub8,Ventral,Right,sub8
0.126691228,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub9,Ventral,Right,sub9
0.107688506,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub10,Ventral,Right,sub10
0.126416898,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub11,Ventral,Right,sub11
0.177747358,Ventral_R,1,Semantic,Sensitivity_limited,Semantic_sub12,Ventral,Right,sub12
0.151969121,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub1,Ventral,Right,sub1
0.13421442,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub2,Ventral,Right,sub2
0.148785729,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub3,Ventral,Right,sub3
0.128825938,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub4,Ventral,Right,sub4
0.144466404,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub5,Ventral,Right,sub5
0.105788384,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub6,Ventral,Right,sub6
0.163847585,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub7,Ventral,Right,sub7
0.151464582,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub8,Ventral,Right,sub8
0.128267307,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub9,Ventral,Right,sub9
0.134621021,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub10,Ventral,Right,sub10
0.125913435,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub11,Ventral,Right,sub11
0.224178503,Ventral_R,2,Semantic,Sensitivity_limited,Semantic_sub12,Ventral,Right,sub12
0.119338361,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub1,Ventral,Left,sub1
0.110759918,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub2,Ventral,Left,sub2
0.127377945,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub3,Ventral,Left,sub3
0.136211764,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub4,Ventral,Left,sub4
0.130005702,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub5,Ventral,Left,sub5
0.145599545,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub6,Ventral,Left,sub6
0.139668889,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub7,Ventral,Left,sub7
0.180187948,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub8,Ventral,Left,sub8
0.113410747,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub9,Ventral,Left,sub9
0.134032337,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub10,Ventral,Left,sub10
0.124606978,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub11,Ventral,Left,sub11
0.168019738,Ventral_L,1,Semantic,Sensitivity_limited,Semantic_sub12,Ventral,Left,sub12
0.159809783,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub1,Ventral,Left,sub1
0.137226584,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub2,Ventral,Left,sub2
0.157020883,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub3,Ventral,Left,sub3
0.150677378,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub4,Ventral,Left,sub4
0.162100043,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub5,Ventral,Left,sub5
0.172686773,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub6,Ventral,Left,sub6
0.120665535,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub7,Ventral,Left,sub7
0.193138707,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub8,Ventral,Left,sub8
0.113137091,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub9,Ventral,Left,sub9
0.124117917,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub10,Ventral,Left,sub10
0.153992082,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub11,Ventral,Left,sub11
0.212869561,Ventral_L,2,Semantic,Sensitivity_limited,Semantic_sub12,Ventral,Left,sub12
0.135365723,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal,Right,sub1
0.072851046,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal,Right,sub2
0.127504097,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal,Right,sub3
0.057089994,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal,Right,sub4
0.17350642,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal,Right,sub5
0.121047807,Dorsal_R,1,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal,Right,sub6
