voxelX,voxelY,voxelZ,VCluster
42,18,30,1
48,16,27,1
51,18,27,1
48,18,27,1
49,18,27,1
49,18,28,1
49,16,30,1
49,16,27,1
51,18,30,1
51,18,28,1
52,19,31,1
49,16,28,1
51,16,26,1
52,16,33,1
49,15,30,1
51,16,30,1
52,19,28,1
52,19,30,1
52,18,31,1
51,16,27,1
52,18,26,1
51,16,28,1
52,18,27,1
54,19,31,1
52,18,28,1
51,15,30,1
52,16,31,1
54,18,33,1
54,16,33,1
52,16,26,1
52,18,30,1
54,18,31,1
54,19,30,1
52,15,31,1
54,18,30,1
54,18,28,1
52,16,30,1
52,16,28,1
52,15,28,1
54,16,31,1
52,15,30,1
54,15,31,1
54,16,27,1
54,16,30,1
54,16,28,1
55,16,33,1
55,18,31,1
55,18,30,1
55,16,28,1
54,15,28,1
55,16,31,1
54,15,30,1
55,16,30,1
57,34,26,2
57,30,26,2
57,28,26,2
57,30,27,2
57,31,26,2
57,28,27,2
57,33,27,2
57,31,27,2
57,31,28,2
57,34,27,2
57,33,28,2
58,28,26,2
58,28,27,2
57,36,27,2
58,30,26,2
58,33,26,2
58,34,26,2
58,31,26,2
58,36,26,2
58,33,27,2
58,30,27,2
58,34,27,2
58,31,27,2
60,28,26,2
58,30,28,2
61,28,26,2
60,30,26,2
60,31,26,2
58,33,28,2
60,28,27,2
60,31,27,2
61,28,27,2
58,31,28,2
58,36,27,2
60,34,28,2
60,33,30,2
60,33,26,2
61,34,28,2
60,31,30,2
61,33,30,2
60,31,28,2
60,30,27,2
60,36,28,2
61,33,28,2
60,30,30,2
61,30,26,2
60,30,28,2
60,36,26,2
60,34,26,2
60,33,27,2
64,33,27,2
61,31,28,2
64,31,26,2
61,31,30,2
63,33,28,2
60,33,28,2
64,33,26,2
61,33,27,2
61,30,28,2
63,33,27,2
63,31,26,2
63,30,26,2
61,30,27,2
60,36,27,2
63,31,28,2
61,31,27,2
61,31,26,2
63,33,26,2
61,34,26,2
63,30,27,2
61,34,27,2
61,33,26,2
60,34,27,2
64,31,27,2
63,31,27,2
63,34,27,2
63,34,26,2
33,71,31,3
29,60,27,3
33,69,31,3
27,63,22,3
27,55,30,3
29,55,31,3
30,61,28,3
26,55,25,3
33,68,31,3
27,55,28,3
29,65,19,3
29,65,18,3
29,63,27,3
27,57,28,3
30,66,18,3
29,63,28,3
29,65,27,3
29,58,31,3
27,65,25,3
29,61,27,3
23,54,25,3
29,58,28,3
29,63,19,3
29,55,30,3
27,58,22,3
26,57,24,3
24,54,25,3
24,55,25,3
29,61,30,3
29,57,31,3
24,55,24,3
27,54,25,3
27,61,21,3
24,57,24,3
27,60,22,3
29,61,19,3
27,61,22,3
26,61,21,3
26,61,22,3
26,58,22,3
29,58,30,3
26,54,25,3
26,60,22,3
27,60,21,3
27,55,24,3
29,57,30,3
26,55,24,3
29,60,30,3
29,61,28,3
29,60,28,3
33,28,28,4
33,28,27,4
33,27,27,4
33,30,27,4
33,27,26,4
32,27,26,4
33,28,26,4
32,28,26,4
33,30,26,4
32,28,27,4
30,25,26,4
30,28,26,4
30,24,26,4
32,25,27,4
32,28,28,4
32,25,26,4
32,27,28,4
30,25,27,4
32,27,27,4
32,30,26,4
24,25,26,4
29,22,26,4
30,27,26,4
30,28,27,4
32,30,27,4
30,24,27,4
29,24,26,4
30,30,26,4
24,27,26,4
29,28,31,4
29,25,26,4
30,30,27,4
30,25,28,4
30,27,30,4
27,24,26,4
30,27,27,4
26,25,26,4
29,24,27,4
29,30,26,4
29,25,27,4
27,25,26,4
29,22,27,4
24,28,26,4
29,27,26,4
26,27,26,4
29,27,30,4
27,24,27,4
29,28,26,4
30,27,28,4
30,28,28,4
27,27,26,4
29,30,27,4
26,25,27,4
29,28,30,4
27,28,31,4
30,28,30,4
29,25,28,4
30,30,28,4
27,28,26,4
29,28,27,4
27,25,27,4
26,28,26,4
29,27,27,4
27,30,26,4
27,31,26,4
30,31,26,4
26,27,27,4
29,31,26,4
29,27,28,4
27,27,30,4
24,27,27,4
29,30,30,4
27,28,30,4
29,31,30,4
26,30,26,4
29,31,27,4
27,27,27,4
29,28,28,4
27,33,26,4
24,28,27,4
30,31,28,4
27,31,27,4
30,31,27,4
29,33,26,4
27,30,30,4
27,30,27,4
26,30,27,4
