Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID,Pathway
0.815520037,Ventral_R,1,Semantic,Components,Semantic_sub1,Ventral
0.826367498,Ventral_R,1,Semantic,Components,Semantic_sub2,Ventral
0.934248579,Ventral_R,1,Semantic,Components,Semantic_sub3,Ventral
0.767210994,Ventral_R,1,Semantic,Components,Semantic_sub4,Ventral
0.601339186,Ventral_R,1,Semantic,Components,Semantic_sub5,Ventral
0.599298231,Ventral_R,1,Semantic,Components,Semantic_sub6,Ventral
0.687555337,Ventral_R,1,Semantic,Components,Semantic_sub7,Ventral
0.789619099,Ventral_R,1,Semantic,Components,Semantic_sub8,Ventral
0.532397305,Ventral_R,1,Semantic,Components,Semantic_sub9,Ventral
0.732589024,Ventral_R,1,Semantic,Components,Semantic_sub10,Ventral
0.450413841,Ventral_R,1,Semantic,Components,Semantic_sub11,Ventral
0.855548719,Ventral_R,1,Semantic,Components,Semantic_sub12,Ventral
-0.527237418,Ventral_R,2,Semantic,Components,Semantic_sub1,Ventral
-0.328119493,Ventral_R,2,Semantic,Components,Semantic_sub2,Ventral
-0.483075456,Ventral_R,2,Semantic,Components,Semantic_sub3,Ventral
-0.226323756,Ventral_R,2,Semantic,Components,Semantic_sub4,Ventral
-0.55064178,Ventral_R,2,Semantic,Components,Semantic_sub5,Ventral
-0.390580972,Ventral_R,2,Semantic,Components,Semantic_sub6,Ventral
-0.358377262,Ventral_R,2,Semantic,Components,Semantic_sub7,Ventral
-0.349941326,Ventral_R,2,Semantic,Components,Semantic_sub8,Ventral
-0.399049596,Ventral_R,2,Semantic,Components,Semantic_sub9,Ventral
-0.166104546,Ventral_R,2,Semantic,Components,Semantic_sub10,Ventral
-0.637246308,Ventral_R,2,Semantic,Components,Semantic_sub11,Ventral
-0.559576705,Ventral_R,2,Semantic,Components,Semantic_sub12,Ventral
0.700386075,Ventral_L,1,Semantic,Components,Semantic_sub1,Ventral
0.895197883,Ventral_L,1,Semantic,Components,Semantic_sub2,Ventral
1.132436066,Ventral_L,1,Semantic,Components,Semantic_sub3,Ventral
0.709703898,Ventral_L,1,Semantic,Components,Semantic_sub4,Ventral
0.779825607,Ventral_L,1,Semantic,Components,Semantic_sub5,Ventral
0.865407988,Ventral_L,1,Semantic,Components,Semantic_sub6,Ventral
0.732209827,Ventral_L,1,Semantic,Components,Semantic_sub7,Ventral
0.785681373,Ventral_L,1,Semantic,Components,Semantic_sub8,Ventral
0.426024054,Ventral_L,1,Semantic,Components,Semantic_sub9,Ventral
0.520057516,Ventral_L,1,Semantic,Components,Semantic_sub10,Ventral
0.839540086,Ventral_L,1,Semantic,Components,Semantic_sub11,Ventral
0.720635031,Ventral_L,1,Semantic,Components,Semantic_sub12,Ventral
-0.222137783,Ventral_L,2,Semantic,Components,Semantic_sub1,Ventral
-0.380447901,Ventral_L,2,Semantic,Components,Semantic_sub2,Ventral
-0.56848331,Ventral_L,2,Semantic,Components,Semantic_sub3,Ventral
-0.379370144,Ventral_L,2,Semantic,Components,Semantic_sub4,Ventral
-0.627331667,Ventral_L,2,Semantic,Components,Semantic_sub5,Ventral
-0.689185364,Ventral_L,2,Semantic,Components,Semantic_sub6,Ventral
-0.324792385,Ventral_L,2,Semantic,Components,Semantic_sub7,Ventral
-0.762900516,Ventral_L,2,Semantic,Components,Semantic_sub8,Ventral
-0.614966786,Ventral_L,2,Semantic,Components,Semantic_sub9,Ventral
-0.316321132,Ventral_L,2,Semantic,Components,Semantic_sub10,Ventral
-0.725948156,Ventral_L,2,Semantic,Components,Semantic_sub11,Ventral
