VR,VL,DR,DL,DLP,DLA,DRP,DRA,VLP,VLA,VRP,VRA,Subject,Object
1.15,1.09,0.88,0.79,0.87,0.68,0.95,0.70,1.32,0.60,1.36,0.68,1,Novel
1.33,1.28,0.65,0.46,0.53,0.42,0.86,0.43,1.50,1.06,1.58,0.94,2,Novel
1.03,1.21,1.09,0.83,1.18,0.58,1.29,0.78,1.30,0.81,0.98,0.89,3,Novel
0.85,0.77,0.83,0.22,0.29,-0.02,1.02,0.32,1.04,0.18,1.47,0.23,4,Novel
0.82,0.95,0.72,0.68,0.78,0.30,0.72,0.68,1.01,0.62,1.18,0.59,5,Novel
1.16,1.06,0.66,0.32,0.47,0.22,0.62,0.75,1.18,0.89,1.32,0.90,6,Novel
1.11,1.27,0.44,0.45,0.52,0.51,0.47,0.42,1.35,0.86,1.29,0.77,7,Novel
0.86,1.06,0.55,0.50,0.65,0.36,0.60,0.49,1.31,0.94,0.87,0.87,8,Novel
1.25,1.24,0.96,0.76,1.12,0.01,1.25,0.43,1.28,0.97,1.33,1.01,9,Novel
1.12,1.09,0.44,0.32,0.47,-0.06,0.64,0.10,1.30,0.50,1.35,0.72,10,Novel
1.27,1.29,0.61,0.64,0.75,0.48,0.71,0.30,1.52,0.97,1.43,1.05,11,Novel
1.29,1.19,0.66,0.62,0.82,0.32,0.68,0.80,1.29,0.71,1.47,0.85,12,Novel
1.09,0.98,0.84,0.79,0.97,0.59,0.76,0.61,1.28,0.76,1.30,0.79,1,Semantic
1.11,1.09,0.35,0.66,0.76,0.40,0.72,0.08,1.47,0.78,1.41,0.83,2,Semantic
1.07,1.01,0.61,0.60,0.67,0.78,0.63,1.00,1.14,0.77,1.15,0.91,3,Semantic
0.62,0.70,0.80,0.35,0.17,0.44,0.68,0.63,0.89,0.54,1.08,0.34,4,Semantic
0.80,0.83,0.87,0.78,0.68,0.57,0.72,0.74,0.92,0.67,1.17,0.67,5,Semantic
1.06,1.28,1.02,0.79,0.75,0.72,0.90,0.96,1.53,1.01,1.18,0.90,6,Semantic
0.96,1.04,0.34,0.73,0.53,0.46,0.15,0.45,1.33,0.61,1.30,0.66,7,Semantic
0.65,1.12,0.41,0.71,0.53,0.57,0.37,0.76,1.45,0.83,0.83,0.48,8,Semantic
1.05,0.97,0.86,0.75,0.58,0.53,0.68,0.80,1.03,0.91,1.28,0.85,9,Semantic
1.02,1.04,0.80,0.79,0.63,0.37,0.55,0.74,1.23,0.69,1.28,0.77,10,Semantic
0.74,0.98,0.48,0.69,0.68,0.20,0.44,0.17,1.42,0.92,1.03,0.83,11,Semantic
1.39,1.39,1.05,1.11,0.91,0.94,0.79,1.08,1.53,1.25,1.72,1.12,12,Semantic
