V,D,DP,DA,VP,VA,Subject,Object
1.15,0.88,0.95,0.7,1.36,0.68,1,Novel
1.33,0.65,0.86,0.43,1.58,0.94,2,Novel
1.03,1.09,1.29,0.78,0.98,0.89,3,Novel
0.85,0.83,1.02,0.32,1.47,0.23,4,Novel
0.82,0.72,0.72,0.68,1.18,0.59,5,Novel
1.16,0.66,0.62,0.75,1.32,0.9,6,Novel
1.11,0.44,0.47,0.42,1.29,0.77,7,Novel
0.86,0.55,0.6,0.49,0.87,0.87,8,Novel
1.25,0.96,1.25,0.43,1.33,1.01,9,Novel
1.12,0.44,0.64,0.1,1.35,0.72,10,Novel
1.27,0.61,0.71,0.3,1.43,1.05,11,Novel
1.29,0.66,0.68,0.8,1.47,0.85,12,Novel
1.09,0.79,0.87,0.68,1.32,0.6,1,Novel
1.28,0.46,0.53,0.42,1.5,1.06,2,Novel
1.21,0.83,1.18,0.58,1.3,0.81,3,Novel
0.77,0.22,0.29,-0.02,1.04,0.18,4,Novel
0.95,0.68,0.78,0.3,1.01,0.62,5,Novel
1.06,0.32,0.47,0.22,1.18,0.89,6,Novel
1.27,0.45,0.52,0.51,1.35,0.86,7,Novel
1.06,0.5,0.65,0.36,1.31,0.94,8,Novel
1.24,0.76,1.12,0.01,1.28,0.97,9,Novel
1.09,0.32,0.47,-0.06,1.3,0.5,10,Novel
1.29,0.64,0.75,0.48,1.52,0.97,11,Novel
1.19,0.62,0.82,0.32,1.29,0.71,12,Novel
1.09,0.84,0.76,0.61,1.3,0.79,1,Semantic
1.11,0.35,0.72,0.08,1.41,0.83,2,Semantic
1.07,0.61,0.63,1,1.15,0.91,3,Semantic
0.62,0.8,0.68,0.63,1.08,0.34,4,Semantic
0.8,0.87,0.72,0.74,1.17,0.67,5,Semantic
1.06,1.02,0.9,0.96,1.18,0.9,6,Semantic
0.96,0.34,0.15,0.45,1.3,0.66,7,Semantic
0.65,0.41,0.37,0.76,0.83,0.48,8,Semantic
1.05,0.86,0.68,0.8,1.28,0.85,9,Semantic
1.02,0.8,0.55,0.74,1.28,0.77,10,Semantic
0.74,0.48,0.44,0.17,1.03,0.83,11,Semantic
1.39,1.05,0.79,1.08,1.72,1.12,12,Semantic
0.98,0.79,0.97,0.59,1.28,0.76,1,Semantic
1.09,0.66,0.76,0.4,1.47,0.78,2,Semantic
1.01,0.6,0.67,0.78,1.14,0.77,3,Semantic
0.7,0.35,0.17,0.44,0.89,0.54,4,Semantic
0.83,0.78,0.68,0.57,0.92,0.67,5,Semantic
1.28,0.79,0.75,0.72,1.53,1.01,6,Semantic
1.04,0.73,0.53,0.46,1.33,0.61,7,Semantic
1.12,0.71,0.53,0.57,1.45,0.83,8,Semantic
0.97,0.75,0.58,0.53,1.03,0.91,9,Semantic
1.04,0.79,0.63,0.37,1.23,0.69,10,Semantic
0.98,0.69,0.68,0.2,1.42,0.92,11,Semantic
1.39,1.11,0.91,0.94,1.53,1.25,12,Semantic
