Correlation,Location,Subject,Object
1.15,V,1,Novel
1.33,V,2,Novel
1.03,V,3,Novel
0.85,V,4,Novel
0.82,V,5,Novel
1.16,V,6,Novel
1.11,V,7,Novel
0.86,V,8,Novel
1.25,V,9,Novel
1.12,V,10,Novel
1.27,V,11,Novel
1.29,V,12,Novel
1.09,V,1,Novel
1.28,V,2,Novel
1.21,V,3,Novel
0.77,V,4,Novel
0.95,V,5,Novel
1.06,V,6,Novel
1.27,V,7,Novel
1.06,V,8,Novel
1.24,V,9,Novel
1.09,V,10,Novel
1.29,V,11,Novel
1.19,V,12,Novel
1.09,V,1,Semantic
1.11,V,2,Semantic
1.07,V,3,Semantic
0.62,V,4,Semantic
0.8,V,5,Semantic
1.06,V,6,Semantic
0.96,V,7,Semantic
0.65,V,8,Semantic
1.05,V,9,Semantic
1.02,V,10,Semantic
0.74,V,11,Semantic
1.39,V,12,Semantic
0.98,V,1,Semantic
1.09,V,2,Semantic
1.01,V,3,Semantic
0.7,V,4,Semantic
0.83,V,5,Semantic
1.28,V,6,Semantic
1.04,V,7,Semantic
1.12,V,8,Semantic
0.97,V,9,Semantic
1.04,V,10,Semantic
0.98,V,11,Semantic
1.39,V,12,Semantic
0.88,D,1,Novel
0.65,D,2,Novel
1.09,D,3,Novel
0.83,D,4,Novel
0.72,D,5,Novel
0.66,D,6,Novel
0.44,D,7,Novel
0.55,D,8,Novel
0.96,D,9,Novel
0.44,D,10,Novel
0.61,D,11,Novel
0.66,D,12,Novel
0.79,D,1,Novel
0.46,D,2,Novel
0.83,D,3,Novel
0.22,D,4,Novel
0.68,D,5,Novel
0.32,D,6,Novel
0.45,D,7,Novel
0.5,D,8,Novel
0.76,D,9,Novel
0.32,D,10,Novel
0.64,D,11,Novel
0.62,D,12,Novel
0.84,D,1,Semantic
0.35,D,2,Semantic
0.61,D,3,Semantic
0.8,D,4,Semantic
0.87,D,5,Semantic
1.02,D,6,Semantic
0.34,D,7,Semantic
0.41,D,8,Semantic
0.86,D,9,Semantic
0.8,D,10,Semantic
0.48,D,11,Semantic
1.05,D,12,Semantic
0.79,D,1,Semantic
0.66,D,2,Semantic
0.6,D,3,Semantic
0.35,D,4,Semantic
0.78,D,5,Semantic
0.79,D,6,Semantic
0.73,D,7,Semantic
0.71,D,8,Semantic
0.75,D,9,Semantic
0.79,D,10,Semantic
0.69,D,11,Semantic
1.11,D,12,Semantic
0.95,DP,1,Novel
0.86,DP,2,Novel
1.29,DP,3,Novel
1.02,DP,4,Novel
0.72,DP,5,Novel
0.62,DP,6,Novel
0.47,DP,7,Novel
0.6,DP,8,Novel
1.25,DP,9,Novel
0.64,DP,10,Novel
0.71,DP,11,Novel
0.68,DP,12,Novel
0.87,DP,1,Novel
0.53,DP,2,Novel
1.18,DP,3,Novel
0.29,DP,4,Novel
0.78,DP,5,Novel
0.47,DP,6,Novel
0.52,DP,7,Novel
0.65,DP,8,Novel
1.12,DP,9,Novel
0.47,DP,10,Novel
0.75,DP,11,Novel
0.82,DP,12,Novel
0.76,DP,1,Semantic
0.72,DP,2,Semantic
0.63,DP,3,Semantic
0.68,DP,4,Semantic
0.72,DP,5,Semantic
0.9,DP,6,Semantic
0.15,DP,7,Semantic
0.37,DP,8,Semantic
0.68,DP,9,Semantic
0.55,DP,10,Semantic
0.44,DP,11,Semantic
0.79,DP,12,Semantic
0.97,DP,1,Semantic
0.76,DP,2,Semantic
0.67,DP,3,Semantic
0.17,DP,4,Semantic
0.68,DP,5,Semantic
0.75,DP,6,Semantic
0.53,DP,7,Semantic
0.53,DP,8,Semantic
0.58,DP,9,Semantic
0.63,DP,10,Semantic
0.68,DP,11,Semantic
0.91,DP,12,Semantic
0.7,DA,1,Novel
0.43,DA,2,Novel
0.78,DA,3,Novel
0.32,DA,4,Novel
0.68,DA,5,Novel
0.75,DA,6,Novel
0.42,DA,7,Novel
0.49,DA,8,Novel
0.43,DA,9,Novel
0.1,DA,10,Novel
0.3,DA,11,Novel
0.8,DA,12,Novel
0.68,DA,1,Novel
0.42,DA,2,Novel
0.58,DA,3,Novel
-0.02,DA,4,Novel
0.3,DA,5,Novel
0.22,DA,6,Novel
0.51,DA,7,Novel
0.36,DA,8,Novel
0.01,DA,9,Novel
-0.06,DA,10,Novel
0.48,DA,11,Novel
0.32,DA,12,Novel
0.61,DA,1,Semantic
0.08,DA,2,Semantic
1,DA,3,Semantic
0.63,DA,4,Semantic
0.74,DA,5,Semantic
0.96,DA,6,Semantic
0.45,DA,7,Semantic
0.76,DA,8,Semantic
0.8,DA,9,Semantic
0.74,DA,10,Semantic
0.17,DA,11,Semantic
1.08,DA,12,Semantic
0.59,DA,1,Semantic
0.4,DA,2,Semantic
0.78,DA,3,Semantic
0.44,DA,4,Semantic
0.57,DA,5,Semantic
0.72,DA,6,Semantic
0.46,DA,7,Semantic
0.57,DA,8,Semantic
0.53,DA,9,Semantic
0.37,DA,10,Semantic
0.2,DA,11,Semantic
0.94,DA,12,Semantic
1.36,VP,1,Novel
1.58,VP,2,Novel
0.98,VP,3,Novel
1.47,VP,4,Novel
1.18,VP,5,Novel
1.32,VP,6,Novel
1.29,VP,7,Novel
0.87,VP,8,Novel
1.33,VP,9,Novel
1.35,VP,10,Novel
1.43,VP,11,Novel
1.47,VP,12,Novel
1.32,VP,1,Novel
1.5,VP,2,Novel
1.3,VP,3,Novel
1.04,VP,4,Novel
1.01,VP,5,Novel
1.18,VP,6,Novel
1.35,VP,7,Novel
1.31,VP,8,Novel
1.28,VP,9,Novel
1.3,VP,10,Novel
1.52,VP,11,Novel
1.29,VP,12,Novel
1.3,VP,1,Semantic
1.41,VP,2,Semantic
1.15,VP,3,Semantic
1.08,VP,4,Semantic
1.17,VP,5,Semantic
1.18,VP,6,Semantic
1.3,VP,7,Semantic
0.83,VP,8,Semantic
1.28,VP,9,Semantic
1.28,VP,10,Semantic
1.03,VP,11,Semantic
1.72,VP,12,Semantic
1.28,VP,1,Semantic
1.47,VP,2,Semantic
1.14,VP,3,Semantic
0.89,VP,4,Semantic
0.92,VP,5,Semantic
1.53,VP,6,Semantic
1.33,VP,7,Semantic
1.45,VP,8,Semantic
1.03,VP,9,Semantic
1.23,VP,10,Semantic
1.42,VP,11,Semantic
1.53,VP,12,Semantic
0.68,VA,1,Novel
0.94,VA,2,Novel
0.89,VA,3,Novel
0.23,VA,4,Novel
0.59,VA,5,Novel
0.9,VA,6,Novel
0.77,VA,7,Novel
0.87,VA,8,Novel
1.01,VA,9,Novel
0.72,VA,10,Novel
1.05,VA,11,Novel
0.85,VA,12,Novel
0.6,VA,1,Novel
1.06,VA,2,Novel
0.81,VA,3,Novel
0.18,VA,4,Novel
